simulation,reached,failed,unreachable,world_name,simulation_time,calculations_time
0,20,0,0,by_small,769.1052494049072,148.59423065185547
1,20,0,0,by_small,664.0856637954712,122.03315687179565
2,20,0,0,by_small,720.7980465888977,154.74326992034912
3,20,0,0,by_small,700.7671251296997,153.29406642913818
4,20,0,0,by_small,645.8483271598816,102.25592374801636
0,20,0,0,by_small2,917.4552268981934,269.77857422828674
1,18,1,1,by_small2,914.8684558868408,212.55059719085693
2,19,1,0,by_small2,831.8866567611694,174.21131682395935
3,20,0,0,by_small2,899.1187467575073,227.4208481311798
4,20,0,0,by_small2,1155.5623407363892,264.6196405887604
5,19,0,1,by_small2,782.222692489624,193.88927721977234
6,19,0,1,by_small2,911.1640117168427,339.80006408691406
7,19,0,1,by_small2,812.4330344200134,195.8176794052124
8,19,0,1,by_small2,880.4734551906586,196.13426208496094
9,20,0,0,by_small2,1029.574124097824,254.1334958076477
10,20,0,0,by_small2,1317.3988189697266,468.4916744232178
11,20,0,0,by_small2,983.1054191589355,220.533349275589
6,20,0,0,by_small,818.137407541275,159.21867513656616
7,20,0,0,by_small,835.3324317932129,172.74026131629944
8,19,1,0,by_small,755.8356506824493,120.41225147247314
9,20,0,0,by_small,741.5046911239624,151.228098154068
10,20,0,0,by_small,858.9700758457184,139.10168170928955
11,20,0,0,by_small,711.294275522232,132.46193957328796
12,20,0,0,by_small,758.276281118393,157.4810140132904
13,20,0,0,by_small,763.6493825912476,169.93373656272888
14,20,0,0,by_small,699.6293177604675,135.1046895980835
15,20,0,0,by_small,899.9764075279236,142.60729908943176
